Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",1210,12,100uF,C7432790
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24",CP_Elec_6.3x7.7,12,C_Polarized,C165974
J4,BarrelJack_CUI_PJ-036AH-SMT_Horizontal,1,Barrel_Jack,C3094052
"P1, P10, P11, P12, P2, P3, P4, P5, P6, P7, P8, P9",PinHeader_1x15_P2.54mm_Horizontal,12,CONN15,C18905875
